"Species.No.","Common.Name","Latin.Name","LATmin","LATmax","LATextent","areaKM2"
407,"shagbark hickory","Carya ovata",19.9366630063113,46.3962898647598,26.4596268584484,2061873.88327086
408,"black hickory","Carya texana",28.5965458885526,40.4962952138115,11.8997493252589,443220.192883193
409,"mockernut hickory","Carya alba",28.8323512448749,44.7081996339727,15.8758483890978,1921013.23367051
421,"American chestnut","Castanea dentata",31.1219885313692,44.9549426546819,13.8329541233127,760639.550382304
452,"northern catalpa","Catalpa speciosa",34.7735031563606,40.2198758136498,5.44637265728917,45074.0730243569
461,"sugarberry","Celtis laevigata",21.9409565558075,40.7928848501743,18.8519282943668,1623054.18904184
462,"hackberry","Celtis occidentalis",32.2329701247283,50.3060606486937,18.0730905239654,2071831.66192237
471,"eastern redbud","Cercis canadensis",25.8450647406413,42.7543841144673,16.909319373826,2049378.215849
491,"flowering dogwood","Cornus florida",28.4481071495751,44.0440883701892,15.5959812206141,1998359.66244916
521,"common persimmon","Diospyros virginiana",25.1202832775385,41.4655026706537,16.3452193931152,1933583.35827238
531,"American beech","Fagus grandifolia",19.44993753806,47.9262730041139,28.4763354660539,2294483.70732098
541,"white ash","Fraxinus americana",28.6263231888864,48.1880376752281,19.5617144863417,2884819.96710329
543,"black ash","Fraxinus nigra",37.5546989615238,51.5068927388801,13.9521937773563,2207839.30168308
544,"green ash","Fraxinus pennsylvanica",28.3147202678451,54.2753862600018,25.9606659921568,5218575.38536036
546,"blue ash","Fraxinus quadrangulata",33.249103758757,42.9619902476175,9.71288648886058,346158.516001402
551,"waterlocust","Gleditsia aquatica",27.2364787190017,39.0393494072073,11.8028706882056,292153.170299123
552,"honeylocust","Gleditsia triacanthos",28.7554101918073,43.7684427676238,15.0130325758165,1733866.61318975
555,"loblolly bay","Gordonia lasianthus",26.9686767696027,35.9950517954109,9.02637502580818,234169.130066936
571,"Kentucky coffeetree","Gymnocladus dioicus",33.9928007458705,45.0897360190281,11.0969352731576,719816.275365573
580,"silverbell","Halesia spp.",29.5679815512926,34.606529015419,5.03854746412636,221212.953750906
591,"American holly","Ilex opaca",27.4800884144547,42.3152098376749,14.8351214232203,1238960.98376567
601,"butternut","Juglans cinerea",33.3827239029667,47.2524450656777,13.869721162711,1531386.98908057
